ID,LastName,FirstName,HireDate,HireTime
250,Rodriguez,Virgil,2019-11-08,20:23:00
251,Lazo,John,2019-12-21,8:11:00
252,Meadows,Margaret,2019-12-09,13:49:00
253,Hammond,Alva,2020-02-03,16:51:00
254,Merriweather,William,2020-01-21,9:22:00
255,Riddle,John,2019-11-09,19:54:00
256,Chappell,Joseph,2020-03-10,7:11:00
257,Baty,Ruth,2020-02-04,8:10:00
258,Kennedy,Michael,2020-01-21,20:5:00
259,Garrison,Nicholas,2020-01-25,20:54:00
260,Sullivan,Joe,2019-10-16,7:28:00
261,Danahy,James,2019-12-10,9:26:00
262,Petersen,Mary,2019-12-22,9:18:00
263,Davis,Angelica,2019-12-01,13:58:00
264,Johnson,Michele,2019-11-21,11:33:00
265,Reynolds,Karen,2019-12-23,10:9:00
266,Leal,Melinda,2020-02-12,13:44:00
267,Rossi,Eric,2020-02-07,15:1:00
268,Wheeles,Napoleon,2019-12-16,20:56:00
269,Breeden,Maria,2019-10-26,10:34:00
270,Chester,Jeffrey,2020-03-07,12:47:00
271,Evans,Anthony,2020-03-10,10:40:00
272,Knowlton,Annika,2020-02-29,9:10:00
273,Burton,Martin,2019-10-24,7:4:00
274,Fullenkamp,Timothy,2019-10-26,8:13:00
275,Mirabella,Tammy,2019-12-29,15:46:00
276,Miller,Thomas,2019-12-15,16:31:00
277,Layman,Curtis,2020-02-07,19:48:00
278,Smith,Edith,2019-12-13,20:49:00
279,Toon,Albertine,2019-11-12,13:16:00
280,Hernandez,Jeremy,2019-11-15,15:4:00
281,Gray,Joanne,2020-01-29,19:35:00
282,Louis,Jeffery,2019-10-15,8:25:00
283,Seymore,Felix,2019-11-01,12:27:00
284,Mckeown,Janet,2020-03-07,18:16:00
285,Bruff,Evelyn,2020-01-14,14:22:00
286,Ray,Gregoria,2019-11-02,7:9:00
287,Drummond,Marie,2019-11-03,11:4:00
288,Peacock,Gerald,2019-12-09,17:43:00
289,Parsons,Samuel,2019-11-23,8:48:00
290,Valdez,Monica,2019-11-08,16:47:00
291,Locker,Charles,2020-03-08,14:5:00
292,Walls,Anna,2019-11-18,15:38:00
293,Walker,Edward,2020-01-10,10:25:00
294,Robles,Linda,2020-01-28,9:47:00
295,Godbey,Preston,2019-12-08,8:27:00
296,Feeley,Leslie,2019-12-04,8:52:00
297,Richey,Yvonne,2019-11-07,8:44:00
298,Waverly,John,2019-10-13,17:29:00
299,Phillips,Paulette,2019-11-17,18:59:00
300,Botelho,Kenneth,2019-10-19,13:1:00
301,Fowlie,Penny,2020-01-07,14:4:00
302,Lovett,Willard,2019-12-26,14:56:00
303,Soto,Elise,2020-01-25,7:10:00
304,Wheeler,Rhonda,2019-12-09,19:23:00
305,Jones,Marian,2019-11-23,12:52:00
306,Saldana,Robert,2019-12-22,19:1:00
307,Johnson,Maria,2019-11-08,20:37:00
308,Braswell,Yvonne,2019-10-25,10:39:00
309,Collins,Joanne,2020-02-26,16:34:00
310,Ruano,Gilbert,2019-12-19,11:52:00
311,Graf,Sandy,2019-11-01,19:44:00
312,Suitt,Charles,2019-11-30,15:47:00
313,Hachigian,William,2019-11-27,20:54:00
314,Ortiz,Nicholas,2020-01-07,17:58:00
315,Maya,Kris,2019-12-17,14:45:00
316,Reese,Billy,2019-11-27,12:42:00
317,Smith,Juanita,2020-01-13,16:1:00
318,Guyton,Yolanda,2020-02-06,17:11:00
319,Donnelly,Ronald,2019-11-24,7:31:00
320,Patrone,David,2020-01-22,8:58:00
321,Zickefoose,Patricia,2019-11-18,17:58:00
322,Manthe,Jesse,2020-03-04,13:29:00
323,Craven,Elizabeth,2020-01-01,17:25:00
324,Hoskins,John,2019-12-07,13:12:00
325,Cormier,Demetrice,2020-01-12,19:51:00
326,Cogan,Norman,2019-10-22,15:14:00
327,Oconnor,David,2019-11-20,15:29:00
328,Nation,Donnetta,2020-01-27,14:53:00
329,Conners,Amanda,2019-12-29,8:5:00
330,Stern,Richard,2020-01-23,7:29:00
331,Castellanos,Christine,2019-11-27,16:45:00
332,Wiggins,Sol,2019-11-11,16:51:00
333,Bauer,Monique,2020-02-09,13:3:00
334,Snethen,Cassandra,2020-02-20,17:37:00
335,Harkless,Norma,2019-10-24,16:46:00
336,Nuno,Cheri,2019-11-23,17:5:00
337,Hallum,Elton,2020-02-12,7:1:00
338,Bolton,David,2019-10-19,7:53:00
339,Grace,Ronald,2019-12-30,19:50:00
340,Manning,Daniel,2020-01-03,12:37:00
341,Nichols,Ben,2020-02-07,9:43:00
342,Cox,Bobby,2020-01-18,17:9:00
343,Morales,Karla,2020-01-14,20:52:00
344,Hendrickson,Sheri,2019-10-23,18:18:00
345,Fisher,Karen,2019-11-20,13:45:00
346,Lehmann,Marie,2020-03-08,17:22:00
347,Anna,James,2019-12-07,12:11:00
348,Williams,Elmo,2019-10-26,16:20:00
349,Evans,Steven,2019-12-15,20:2:00
350,Tuenge,Joe,2020-02-19,9:46:00
351,Dickens,Timothy,2019-11-22,9:53:00
352,Schrader,Edward,2019-11-28,8:5:00
353,Torres,Christopher,2019-12-14,15:10:00
354,Hammonds,Margaret,2020-02-12,16:20:00
355,Kelly,Brandy,2019-12-29,7:51:00
356,Temple,Gary,2020-02-08,16:26:00
357,Bauman,Yvonne,2020-01-24,11:39:00
358,Baker,Robert,2019-12-04,12:42:00
359,Morris,Roland,2020-01-05,15:34:00
360,Smith,Cathy,2019-11-08,16:0:00
361,Hucks,Cora,2019-11-04,7:32:00
362,Ares,Minnie,2019-12-12,20:15:00
363,Valencia,Margaret,2019-10-28,12:8:00
364,Farley,Catherine,2020-01-27,19:8:00
365,Ceraos,Joy,2019-11-16,10:30:00
366,Robinson,Hugh,2020-02-15,8:45:00
367,Carter,Marion,2019-12-06,8:58:00
368,Molina,Willie,2020-01-05,12:25:00
369,Clark,Jon,2019-10-28,9:35:00
370,Saba,John,2019-12-23,19:15:00
371,Wall,Mark,2019-11-08,11:49:00
372,Bennett,Debra,2019-11-25,18:12:00
373,Mitton,Michael,2019-11-24,7:19:00
374,Edelstein,Jonathon,2020-02-07,18:1:00
375,Boswell,Janet,2019-11-04,20:29:00
376,Arfman,Virginia,2020-02-15,14:9:00
377,Cohen,Cassandra,2020-03-10,11:31:00
378,Hayes,Sarah,2019-12-21,14:2:00
379,Gabbard,Belinda,2020-02-03,8:53:00
380,Brownlee,Dorothy,2019-10-22,7:7:00
381,Hoover,Wendell,2019-12-19,17:12:00
382,Curd,Jacqueline,2019-11-20,18:59:00
383,Mitchell,Gary,2019-11-21,15:21:00
384,Carlson,Catherine,2019-10-18,9:51:00
385,Thomas,Rene,2019-11-17,19:0:00
386,Richter,Vera,2019-11-29,17:2:00
387,Pauley,Jeffrey,2020-03-10,11:54:00
388,Woods,Oren,2020-02-11,19:44:00
389,Newson,David,2019-11-02,15:37:00
390,Taylor,Jennifer,2019-12-20,7:28:00
391,Kramer,Coral,2020-01-23,10:43:00
392,Cipriani,Agustin,2019-10-14,9:34:00
393,Brandenburg,Betty,2019-12-05,19:6:00
394,Moose,Betty,2020-01-18,8:10:00
395,Gonzalez,Mary,2019-12-30,9:11:00
396,Snell,Fred,2020-01-16,8:19:00
397,Stout,Jeff,2019-10-19,11:21:00
398,Moore,Christopher,2019-12-08,10:34:00
399,Lehtonen,Christian,2020-01-08,16:22:00
400,Campbell,Karen,2020-01-06,13:29:00
401,Munoz,Charles,2019-12-15,17:42:00
402,Gagne,Angela,2019-11-24,14:27:00
403,James,Jacklyn,2020-02-05,14:12:00
404,White,James,2020-02-11,13:4:00
405,Jordan,Lillie,2019-12-29,12:47:00
406,Macdonald,Sandra,2020-01-23,9:24:00
407,Gorton,Jeremy,2019-10-28,17:15:00
408,Kidwell,Louis,2019-10-18,15:5:00
409,Haag,Linda,2020-01-08,17:9:00
410,Stewart,William,2019-12-01,15:44:00
411,Stinson,Anita,2019-12-31,14:54:00
412,Lanosga,Jeffery,2019-12-05,8:50:00
413,Bramer,Connie,2019-12-12,18:28:00
414,Galloway,Ellen,2020-01-21,16:2:00
415,Cox,Phyllis,2019-11-12,15:33:00
416,Ham,Javier,2020-03-07,17:40:00
417,Davenport,Paul,2020-02-16,16:49:00
418,Jackson,Benny,2020-01-21,18:14:00
419,Burrage,Roberto,2019-11-19,13:22:00
420,Billinger,Jack,2019-12-03,8:52:00
421,Barker,Mary,2020-02-17,14:3:00
422,Candelaria,David,2019-10-25,15:12:00
423,Fortier,Orlando,2019-12-18,15:36:00
424,Mcginnis,Wilburn,2020-02-28,20:30:00
425,Cook,Steven,2019-11-21,20:11:00
426,Crane,Patrick,2019-12-17,19:52:00
427,Smith,Margaret,2020-01-17,10:51:00
428,Dugan,Carla,2019-12-10,8:50:00
429,Huber,Claire,2019-11-27,20:0:00
430,Jones,Rebecca,2019-12-10,9:9:00
431,Long,Jose,2019-11-12,18:53:00
432,Fulkerson,Brenda,2019-11-14,17:55:00
433,Riddick,Donald,2020-02-19,13:15:00
434,Henderson,Michael,2020-02-01,9:2:00
435,Sewell,Christine,2020-02-24,16:58:00
436,Trotter,Harry,2019-12-16,15:33:00
437,New,Richard,2020-01-19,19:45:00
438,Lombardo,William,2019-12-25,10:41:00
439,Scarbrough,Don,2020-03-03,16:12:00
440,Kelley,Mary,2019-10-25,12:8:00
441,Taulbee,Jose,2019-10-30,19:21:00
442,Cantrell,Theresa,2020-02-27,14:14:00
443,Anderson,Alice,2020-03-03,19:20:00
444,Armstrong,Erik,2019-12-20,19:48:00
445,Gardner,Claude,2020-01-28,17:30:00
446,Ware,Leslie,2019-12-26,8:31:00
447,Cano,Richard,2019-10-22,16:17:00
448,Friend,Joel,2019-12-19,14:36:00
449,Zatorski,Rita,2020-02-05,19:52:00
450,Huber,Penny,2020-02-06,17:43:00
451,Wood,Winston,2019-10-21,12:20:00
452,Styles,Robert,2020-02-04,19:33:00
453,Robinson,Christopher,2020-01-17,16:8:00
454,Meyers,Helen,2019-10-18,9:35:00
455,Adell,Heidi,2019-10-25,16:48:00
456,Reitz,Elena,2019-12-08,12:50:00
457,Kalb,Roy,2020-02-08,14:36:00
458,Rodriguez,Theresa,2019-11-22,9:35:00
459,Kiel,Jenette,2020-01-25,15:18:00
460,Hughes,Verda,2020-01-21,12:43:00
461,Matheney,Jill,2020-03-02,16:16:00
462,Petersen,Alvin,2020-03-06,12:14:00
463,Nixon,Elizabeth,2019-11-01,18:6:00
464,Quilty,Michael,2020-03-09,9:6:00
465,Potter,Duane,2020-01-27,13:56:00
466,Hernandez,Timothy,2019-10-15,12:46:00
467,Mansour,Justin,2019-11-13,10:5:00
468,Yarberry,Amanda,2019-11-20,14:41:00
469,Carlson,Michael,2019-12-19,20:59:00
470,Williams,Lyman,2019-11-08,16:54:00
471,Odum,Cristobal,2020-01-23,13:22:00
472,Tuggle,Patti,2020-03-01,9:1:00
473,Wolfe,Phyllis,2020-02-04,12:56:00
474,Barrett,John,2019-12-09,19:42:00
475,Debell,Kristin,2020-01-19,9:46:00
476,Smith,Christine,2019-12-16,11:47:00
477,Abney,Shelly,2020-02-03,11:27:00
478,Staples,Richard,2020-02-19,10:52:00
479,Huey,Hans,2020-02-16,10:20:00
480,Carter,Steven,2019-11-14,20:39:00
481,Medley,Paul,2019-11-30,14:4:00
482,Lindauer,Robert,2019-11-19,17:7:00
483,Corpus,Clifton,2019-11-15,16:48:00
484,Kimbler,David,2019-10-18,13:33:00
485,Bravo,Jewel,2020-02-02,18:35:00
486,Blazer,Whitney,2020-01-17,7:36:00
487,Parker,Elaine,2020-02-12,9:40:00
488,Guglielmi,Alice,2019-11-05,18:5:00
489,Molina,Stephanie,2019-10-16,20:5:00
490,Logan,Alexander,2020-01-27,10:31:00
491,Moore,Linda,2019-11-17,15:16:00
492,Vargas,Sylvester,2019-12-23,15:52:00
493,Cano,Isabel,2020-02-28,18:52:00
494,Nelson,Norma,2020-02-02,8:29:00
495,Deal,Laverna,2020-02-08,15:19:00
496,Roman,Jesse,2019-12-08,8:48:00
497,Watt,David,2020-02-14,19:8:00
498,Henderson,Melinda,2020-01-08,10:7:00
499,Tabor,Dana,2019-10-23,9:29:00
500,Benoit,Alice,2019-10-15,7:32:00
501,Moorehouse,Mary,2019-12-31,17:14:00
502,Taylor,Steve,2019-12-04,11:21:00
503,Kiehne,Deborah,2019-11-28,8:23:00
504,Davison,Oliva,2019-11-28,20:4:00
505,Wilson,Lewis,2019-12-22,19:5:00
506,Davis,Thomas,2019-12-13,20:49:00
507,Davis,Elizabeth,2019-10-26,11:8:00
508,Phillips,Joseph,2019-12-08,20:52:00
509,Romero,Joan,2019-12-15,9:32:00
510,Andrews,Erin,2020-01-22,17:49:00
511,Chavez,Tom,2019-11-20,18:40:00
512,Oneal,Robert,2020-01-26,7:8:00
513,Verhoeven,Willie,2020-01-08,11:58:00
514,Williams,Teodora,2019-11-21,12:29:00
515,Knutson,Mary,2020-01-03,15:57:00
516,Wagner,Britany,2019-10-23,12:4:00
517,Garcia,Lottie,2019-11-20,18:4:00
518,Bruner,Dorothy,2019-12-11,15:13:00
519,Garcia,Robert,2019-12-05,15:11:00
520,Wilkinson,Robert,2019-11-23,15:33:00
521,Grassi,Deborah,2020-02-03,16:16:00
522,Moore,Martin,2020-01-30,7:49:00
523,Mcmorris,Karen,2020-02-05,12:58:00
524,Baker,Lesley,2019-11-27,13:46:00
525,Thomas,Mary,2020-02-01,14:57:00
526,Tanner,David,2020-01-05,10:5:00
527,King,Larry,2019-12-26,9:35:00
528,Smith,Calvin,2019-12-23,17:54:00
529,Jenkins,Carlos,2019-11-08,12:8:00
530,Walters,Carolyn,2020-02-19,11:23:00
531,But,Christopher,2020-02-24,8:26:00
532,Hoppe,Angelica,2020-01-26,18:18:00
533,Brady,Alex,2019-11-07,8:4:00
534,Smith,George,2020-02-11,17:40:00
535,Mangrum,Dan,2020-03-10,11:26:00
536,Avila,Laura,2019-11-30,16:3:00
537,Bui,Tina,2019-11-25,8:39:00
538,Miller,Diana,2020-02-02,11:8:00
539,Reavis,Latonya,2019-10-26,14:27:00
540,Battaglia,Jennifer,2020-01-05,7:54:00
541,Baxter,Harold,2019-11-26,13:17:00
542,Baker,Bertie,2019-10-31,17:1:00
543,Howard,Kathleen,2019-10-29,16:26:00
544,Salsbury,Ashley,2019-11-09,15:30:00
545,Lowder,Regina,2020-02-17,10:25:00
546,Baldwin,William,2020-03-05,7:7:00
547,Delarosa,Linda,2019-10-29,17:20:00
548,Walling,Ernestine,2019-10-13,12:24:00
549,Bragg,David,2019-12-05,19:42:00
550,Quintana,Florence,2020-03-04,20:35:00
551,Clark,Elsie,2020-01-17,17:16:00
552,Alford,Veronica,2020-02-19,20:58:00
553,Boren,Barbara,2020-01-23,9:41:00
554,Gage,Maria,2019-12-07,17:6:00
555,Rodriguez,Byron,2019-10-28,8:23:00
556,Chicas,Heather,2019-10-24,15:41:00
557,Ray,Emil,2020-02-18,16:19:00
558,Alsdon,Clifford,2019-12-15,15:58:00
559,Brown,Christy,2020-03-05,16:12:00
560,Caywood,Keith,2020-02-08,13:7:00
561,Stewart,John,2020-03-09,15:15:00
562,Ricks,Maris,2020-02-24,10:12:00
563,Espino,Crystal,2020-01-16,10:12:00
564,Karathanasis,Christopher,2019-12-19,7:27:00
565,Brian,Cindy,2019-12-06,16:2:00
566,Davis,William,2020-03-03,8:37:00
567,Emily,Timothy,2019-10-29,20:49:00
568,Makris,Anthony,2020-02-02,14:28:00
569,Young,Jerry,2019-12-15,20:54:00
570,Carleton,Robert,2020-02-11,17:10:00
571,Mullins,Gary,2019-11-22,16:56:00
572,Cheng,Ron,2020-02-26,10:6:00
573,Johnson,Melissa,2020-03-10,12:39:00
