InvoiceID,CustomerID,CreditCard,SupervisorID,Quantity,Price,Freight,OrderDate
10071,SB67,0115-2985-7177-9319,sup00,75,71.51,21.7,2020-08-31
10072,FT05,4059-0520-5726-0462,sup17,81,24.15,24.08,2020-09-02
10073,RT00,1729-3465-1907-7169,sup13,41,39.26,29.86,2020-09-10
10074,RF78,9499-9026-3759-4444,sup53,83,39.95,15.01,2020-08-22
10075,TR95,8372-0673-1974-4328,sup00,95,67.57,24.32,2020-10-08
10076,QV81,7709-3248-2675-8376,sup94,58,66.92,16.96,2020-08-29
10077,ML77,1669-8425-4555-7841,sup15,74,70.58,25.78,2020-09-05
10078,US24,5380-7341-8701-9291,sup75,80,53.67,13.34,2020-10-08
10079,OZ06,7944-4579-9716-6058,sup58,27,61.61,20.51,2020-08-23
10080,DG01,4786-1149-3004-7733,sup82,26,94.74,17.98,2020-10-12
10081,YZ48,9382-5916-6326-9869,sup54,98,45.56,27.77,2020-10-05
10082,KW29,5606-5529-9248-3942,sup43,29,63.08,19.38,2020-10-02
10083,AU75,0138-5476-7412-8554,sup52,12,62.87,24.85,2020-08-24
10084,YH89,8343-6328-5603-7367,sup91,77,88.9,22.43,2020-08-30
10085,TU16,1269-8422-2814-5449,sup83,64,30.77,14.16,2020-08-26
10086,FP98,0746-2336-1845-4488,sup54,90,25.81,27.52,2020-09-22
10087,PY04,5866-5170-1901-8676,sup40,34,34.17,21.37,2020-08-21
10088,LY17,4615-5187-9342-4941,sup90,2,83.48,16.87,2020-10-09
10089,OG35,2859-2078-0553-3288,sup73,90,63.05,26.48,2020-10-05
10090,CH16,3900-0143-1584-0176,sup42,84,20.4,26.55,2020-09-26
10091,IB73,1465-7125-5278-7873,sup14,95,41.75,20.71,2020-08-23
10092,GD44,4493-6539-7410-1785,sup93,11,78.78,22.77,2020-09-29
10093,NV93,1308-5663-7537-8960,sup88,36,23.02,21.87,2020-08-23
10094,KJ58,6061-2109-3117-5744,sup42,71,26.33,12.04,2020-09-14
10095,ZM73,4872-2731-4336-4044,sup08,53,52.98,16.1,2020-10-13
10096,XH67,4403-9388-0881-3156,sup25,96,78.19,15.76,2020-09-10
10097,GZ51,4146-1871-8649-0677,sup26,79,46.65,15.65,2020-08-25
10098,TC57,4921-8181-6011-4935,sup04,99,48.21,19.53,2020-09-16
10099,IE25,9961-2128-9470-4083,sup04,52,80.84,26.25,2020-10-06
10100,LP36,0831-6622-8284-2888,sup83,42,84.6,18.62,2020-09-28
10101,KD64,7682-8989-7405-4772,sup85,65,98.52,21.82,2020-10-05
10102,JD37,1561-6164-7907-9575,sup19,50,22.68,14.61,2020-09-02
10103,NV05,9576-9268-7272-8552,sup51,32,78.79,20.49,2020-09-26
10104,YY75,0071-8447-8843-7492,sup77,1,43.36,21.68,2020-10-12
10105,UT57,0804-2798-9342-6336,sup40,86,94.37,29.91,2020-08-22
10106,IT57,3896-8965-0798-3752,sup50,81,43.47,14.33,2020-10-03
10107,YI29,3858-9117-7968-0896,sup59,47,33.87,27.88,2020-08-19
10108,PY96,5329-0074-7945-6649,sup01,38,28.85,20.11,2020-10-03
10109,LL50,9723-1178-7792-3985,sup76,26,45.94,15.27,2020-10-09
10110,JZ98,1339-3159-3750-4173,sup00,43,56.68,16.58,2020-09-30
10111,WC21,1565-5707-9912-6348,sup44,39,83.93,27.16,2020-10-09
10112,ZB64,1514-3167-0508-3273,sup92,90,78.43,26.11,2020-08-19
10113,MR98,2273-3940-1858-9154,sup34,4,93.65,25.54,2020-08-15
10114,ZV15,8205-7859-1082-4376,sup35,63,44.96,16.52,2020-08-23
10115,ZD54,3267-1942-0455-7590,sup60,69,44.12,10.89,2020-09-11
10116,KA59,5511-6827-4477-7509,sup31,6,49.82,27.05,2020-10-12
10117,YV17,8616-0105-1227-6995,sup23,97,59.3,23.56,2020-08-16
10118,TJ67,1495-1084-3862-5399,sup54,90,32.69,16.49,2020-09-01
10119,RJ20,4521-7116-7685-4919,sup78,90,60.21,27.35,2020-10-11
10120,XT32,7851-6298-7994-5624,sup10,63,69.55,27.22,2020-09-25
10121,OF58,0453-9839-5279-2056,sup41,61,96.51,24.55,2020-08-19
10122,FX69,5708-0476-0736-2021,sup59,73,67.84,11.63,2020-09-09
10123,XF55,0406-0009-2792-2773,sup73,94,98.53,19.24,2020-09-27
10124,GF59,7069-7254-6689-7932,sup45,91,32.7,28.34,2020-09-05
10125,UN40,7366-6804-3462-7301,sup32,96,47.41,18.76,2020-10-11
10126,EG03,2324-4071-2917-4786,sup05,73,60.67,11.4,2020-08-28
10127,OD13,4206-3916-7718-2462,sup07,9,43.57,10.81,2020-08-30
10128,YE52,8536-5724-3994-7440,sup19,52,66.32,23.15,2020-09-20
10129,XZ36,7459-4220-0665-7662,sup83,20,42.92,18.67,2020-10-02
10130,FO70,4526-3998-9190-2012,sup47,9,65.74,19.51,2020-10-11
10131,IA62,4338-9533-1548-8246,sup33,73,84.77,20.05,2020-09-27
10132,UD03,1241-8845-1740-2811,sup66,38,24.91,20.49,2020-09-25
10133,KD12,5683-6413-7857-4328,sup71,24,77.31,26.59,2020-09-05
10134,MC13,3016-9041-6348-2651,sup83,27,88.79,10.51,2020-08-16
10135,CT86,6874-1028-5078-5252,sup76,11,85.92,20.4,2020-09-29
10136,WF00,6521-5880-0913-1682,sup90,98,47.5,12.18,2020-10-09
10137,BH20,4491-5066-1319-0668,sup92,6,75.66,24.67,2020-08-31
10138,IV26,8056-9756-0547-0127,sup70,70,94.04,10.83,2020-09-13
10139,JQ11,5231-3348-4839-1714,sup93,84,70.38,25.57,2020-08-28
10140,CK17,6533-5031-3138-0979,sup57,88,54.0,10.82,2020-10-12
10141,OD43,7082-0395-4704-1750,sup53,8,61.13,21.52,2020-10-10
10142,WO20,3143-9774-2783-9242,sup51,59,91.53,13.68,2020-10-02
10143,BM40,0503-3500-5944-4997,sup72,17,82.42,18.23,2020-09-03
10144,RQ55,7129-7759-4549-9317,sup33,99,37.51,14.18,2020-09-28
10145,HK22,1400-1877-0476-9108,sup28,92,51.2,27.84,2020-10-01
10146,YJ50,7549-1194-1125-7966,sup74,9,56.13,16.57,2020-10-07
10147,BH12,7912-0070-3340-9617,sup32,59,48.9,10.57,2020-10-09
10148,TV24,7834-6397-1278-6607,sup80,31,22.46,24.07,2020-08-20
10149,KZ25,4112-9714-8752-0911,sup95,65,44.08,23.56,2020-09-29
10150,MB89,1165-5725-0822-1941,sup00,72,35.72,19.64,2020-09-04
10151,UE43,1110-1115-8035-1190,sup27,97,20.48,27.26,2020-09-24
10152,QS12,7589-3286-0930-6750,sup40,41,91.59,17.17,2020-08-28
10153,RB05,9141-8629-6724-5516,sup23,76,41.11,25.1,2020-09-20
10154,SO88,0423-5546-7756-8653,sup69,84,70.64,29.75,2020-10-12
10155,TS96,5515-9542-3315-5511,sup50,98,81.31,16.57,2020-10-03
10156,KS13,4803-2223-6079-5085,sup58,29,80.95,11.8,2020-09-04
10157,SC75,1329-7808-2282-1211,sup11,97,22.25,14.38,2020-09-13
10158,TS32,4353-9961-1395-2589,sup59,81,58.01,15.89,2020-09-08
10159,WX25,1965-1974-3987-4279,sup55,62,93.55,26.38,2020-09-14
10160,QR03,1865-0273-8520-7925,sup95,5,29.2,13.82,2020-10-07
10161,ES09,3752-5334-0085-3251,sup80,42,46.09,12.2,2020-09-24
10162,RM67,9500-7158-6837-1896,sup26,5,79.1,25.05,2020-08-28
10163,OY57,0447-4432-7938-5745,sup41,79,88.2,13.09,2020-08-15
10164,LV58,3694-0246-6000-3686,sup84,92,86.41,10.67,2020-09-22
10165,LH50,3750-1824-6214-8133,sup37,37,55.36,27.64,2020-09-06
10166,UN33,5083-1729-4384-9176,sup83,93,43.53,13.25,2020-10-05
10167,GE43,0241-0764-1111-3204,sup18,39,24.77,25.42,2020-08-28
10168,OC02,9616-8198-1430-7220,sup27,71,87.32,19.35,2020-08-21
10169,NN77,3415-9914-0988-1959,sup84,67,50.76,24.15,2020-10-01
10170,RQ97,8049-6712-1872-1881,sup48,100,28.6,23.52,2020-08-23
10171,XV96,9561-3995-3461-0496,sup09,73,58.7,27.86,2020-09-13
10172,VI48,6367-8732-4323-3907,sup80,19,81.56,22.6,2020-09-19
10173,GT87,9157-0913-0778-2270,sup63,15,75.3,18.3,2020-09-29
10174,BK50,9281-4615-8333-5982,sup74,94,75.78,13.33,2020-09-02
10175,RW98,0211-2514-2140-8213,sup84,22,77.49,27.66,2020-09-14
10176,RX72,0087-4324-9505-7571,sup45,33,74.04,20.33,2020-09-04
10177,ZG89,3993-8025-5971-1533,sup10,3,98.11,19.01,2020-09-09
10178,QM72,7166-4374-8188-9279,sup03,27,46.13,14.7,2020-08-28
10179,PE44,5856-1662-8220-6036,sup23,61,29.07,23.88,2020-09-11
10180,JC15,7161-0147-5189-2431,sup90,58,28.82,16.1,2020-08-15
10181,KY44,3477-7835-4994-7049,sup02,51,51.35,14.26,2020-09-06
10182,AM44,2577-6501-2975-6834,sup98,25,37.9,12.46,2020-09-25
10183,EL09,2055-5316-7692-4435,sup70,89,87.83,29.36,2020-08-25
10184,LT10,0294-0807-5131-8411,sup36,70,36.34,15.54,2020-09-23
10185,WU27,3924-0412-5659-1603,sup99,79,47.38,20.99,2020-08-25
10186,KP12,0271-1250-4899-8836,sup03,37,77.39,23.83,2020-09-23
10187,CK02,8083-0607-3451-1367,sup55,83,52.58,21.21,2020-10-03
10188,CT83,8282-8360-8123-5528,sup73,37,46.94,19.74,2020-09-29
10189,UQ52,8500-6658-2742-9323,sup42,56,64.54,24.82,2020-09-19
10190,RM81,5791-4915-2024-5345,sup95,85,41.78,17.19,2020-09-24
10191,KV70,6183-8871-2064-8974,sup39,63,72.38,13.66,2020-09-09
10192,DK35,9330-6920-3682-1974,sup77,36,78.39,14.69,2020-08-25
10193,NF07,0499-3399-2037-6460,sup58,89,66.14,21.76,2020-10-01
10194,LR33,3120-6264-0408-5021,sup09,89,32.09,23.97,2020-08-20
10195,JF52,3345-5174-5285-4378,sup12,81,43.76,21.39,2020-08-15
10196,RQ64,8140-8346-6586-6908,sup76,10,56.03,25.5,2020-10-03
10197,XD18,5469-2461-5849-1957,sup47,21,55.37,21.79,2020-09-05
10198,PS61,9772-7292-9814-2464,sup50,82,78.02,20.64,2020-10-13
10199,TJ84,4527-8216-2457-2173,sup25,19,30.57,18.77,2020-09-15
10200,QQ59,3562-2997-1695-7120,sup95,25,61.45,14.31,2020-09-08
10201,UL45,5693-8388-6452-9601,sup35,38,96.45,14.02,2020-09-07
10202,YS33,5314-6215-1188-4518,sup85,12,82.32,15.18,2020-08-23
10203,OH40,3401-0268-2328-6977,sup87,40,23.26,12.34,2020-09-06
10204,NS60,2580-0606-6937-1220,sup82,78,53.22,27.44,2020-10-02
10205,JU05,6139-1327-6622-3317,sup19,46,54.03,16.71,2020-10-07
10206,RV82,9030-8964-0669-6327,sup99,20,88.76,21.78,2020-09-08
10207,MM07,1354-0741-5490-2044,sup08,13,70.82,14.31,2020-08-31
10208,IA68,4905-9120-0485-6077,sup42,68,30.79,25.63,2020-09-19
10209,NI74,6115-4530-7982-6718,sup08,80,65.35,12.85,2020-08-30
10210,WQ22,5238-1254-2133-4316,sup77,58,87.99,19.6,2020-09-12
10211,KK59,6049-9548-0835-9581,sup23,46,93.83,18.23,2020-10-05
10212,RG96,2069-4449-9649-6434,sup87,63,36.96,28.01,2020-09-06
10213,NP79,2315-3913-3582-6184,sup26,1,37.46,21.61,2020-10-01
10214,JT27,2320-9212-1456-6560,sup67,34,63.61,11.07,2020-09-19
10215,VF90,2010-3475-4139-8297,sup47,3,84.32,12.53,2020-09-09
10216,XQ77,4107-8120-7897-7471,sup76,33,21.21,22.83,2020-09-21
10217,LM75,2905-3897-1048-2328,sup23,24,80.2,10.37,2020-09-06
10218,UP09,9403-6972-9167-5791,sup73,7,53.19,15.88,2020-08-16
10219,QG72,0935-4804-2793-7922,sup66,100,95.53,18.44,2020-09-15
10220,GA16,6425-7580-9797-4834,sup47,80,54.88,20.13,2020-08-20
10221,BN48,9593-2724-8409-3255,sup07,19,72.42,26.49,2020-08-30
10222,HV34,9438-8459-9522-7345,sup59,96,71.39,15.33,2020-09-02
10223,XE24,6703-3113-7184-2712,sup70,3,22.56,17.37,2020-09-17
10224,SC96,0989-0490-7735-6719,sup69,78,98.45,19.12,2020-09-12
10225,RY88,7559-8933-0918-4139,sup00,72,73.39,22.7,2020-09-20
10226,VQ90,7015-3664-3636-9745,sup08,81,42.64,20.68,2020-09-08
10227,AK30,0814-5354-2855-4454,sup65,88,95.9,25.89,2020-08-25
10228,UT68,0136-6896-9249-6481,sup65,82,60.05,28.75,2020-09-01
10229,DA05,5759-8725-0423-5529,sup24,17,38.58,10.39,2020-09-21
10230,TW38,4035-2581-3360-5163,sup11,28,57.68,14.5,2020-09-24
10231,KV32,7287-3285-8821-9450,sup02,56,63.07,11.32,2020-08-21
10232,DK50,2368-3502-6799-9246,sup45,9,66.88,23.75,2020-09-17
10233,TU50,2488-5110-1948-4370,sup30,88,93.97,23.49,2020-09-06
10234,ZM74,9830-6436-8856-0396,sup57,7,47.52,11.56,2020-09-06
10235,AX10,8758-1348-1783-1304,sup23,26,34.98,27.13,2020-09-12
10236,RY86,8979-7811-2637-5691,sup30,43,68.22,12.21,2020-10-13
10237,JR32,9864-0593-3734-3726,sup14,34,87.95,25.35,2020-09-30
10238,KX48,8719-4090-0285-1502,sup27,88,54.03,15.22,2020-08-22
10239,CL45,1861-9734-3174-5341,sup16,6,63.43,13.6,2020-08-28
10240,TS24,6951-1930-8834-3302,sup08,79,23.08,16.36,2020-10-01
10241,TA23,9282-4123-8781-0242,sup73,86,42.42,10.0,2020-08-22
10242,EE27,0212-0617-1804-7342,sup96,99,37.02,27.9,2020-10-05
10243,AB62,6081-8384-4572-1331,sup23,51,62.2,25.22,2020-09-04
10244,IE14,0217-0766-7943-4272,sup02,21,59.21,21.5,2020-10-07
10245,MS61,6927-8172-4344-4513,sup54,56,58.51,25.32,2020-08-15
10246,VL02,1013-4544-4736-6085,sup19,69,25.75,11.64,2020-08-25
10247,JT48,9170-6500-1359-4621,sup18,52,28.01,22.08,2020-09-26
10248,LS61,1245-4653-4622-9169,sup32,53,77.83,10.98,2020-08-21
10249,UQ44,1783-9473-3753-2695,sup14,45,70.79,20.41,2020-10-11
10250,FY86,8448-3165-7109-3304,sup11,88,54.27,15.7,2020-10-08
10251,BP77,2408-5712-5623-2311,sup15,45,74.85,18.03,2020-09-06
10252,VC13,3448-5248-4849-5415,sup43,99,25.58,13.1,2020-08-17
10253,QN86,9872-1616-8961-1298,sup81,44,51.78,11.1,2020-09-05
10254,XX59,2579-0715-9052-2261,sup55,57,83.17,17.4,2020-08-20
10255,UU31,0066-9400-0768-9364,sup98,92,65.75,27.87,2020-08-17
10256,CP69,2557-3914-6154-7199,sup05,6,46.07,23.98,2020-09-02
10257,KX37,4851-7934-7341-5712,sup44,63,60.11,16.14,2020-09-15
10258,QO89,3372-8430-0620-5160,sup84,78,56.7,19.04,2020-09-11
10259,XO79,8050-9099-8694-5076,sup94,85,96.66,26.22,2020-10-06
10260,FD91,7912-3461-3513-2569,sup52,82,33.72,28.55,2020-08-30
10261,QW92,0553-3091-6318-6868,sup10,52,94.47,22.77,2020-09-13
10262,NU35,0978-7158-9557-8963,sup43,21,88.86,15.66,2020-09-21
10263,UN51,4723-4202-6551-1514,sup01,54,52.17,25.5,2020-10-01
10264,UR64,3967-0597-6185-3117,sup38,38,89.83,26.04,2020-09-04
10265,RX64,0527-0023-6144-8762,sup34,67,42.98,23.09,2020-08-21
10266,JT66,3533-8932-1808-0592,sup34,72,55.03,27.89,2020-10-08
10267,TC67,2533-4150-8569-5971,sup34,44,43.26,15.27,2020-09-05
10268,LL09,5396-5650-4340-9861,sup61,12,49.41,27.69,2020-09-22
10269,GT58,2875-3680-4955-6768,sup55,89,62.08,22.36,2020-08-27
10270,UP97,8015-3584-9859-9471,sup58,88,25.9,23.41,2020-10-07
10271,CQ20,4755-2046-6400-7006,sup29,64,42.55,22.57,2020-09-29
10272,SJ41,0757-4992-0418-5315,sup58,42,41.37,15.46,2020-09-07
10273,BA78,5372-6777-2046-3129,sup13,53,78.31,11.32,2020-09-20
10274,ZA44,1413-8533-5797-8106,sup88,7,65.98,18.74,2020-08-14
10275,XZ51,7964-7637-3824-8757,sup43,95,99.74,19.34,2020-09-23
10276,GP26,7866-3017-0837-3423,sup75,99,56.29,14.01,2020-09-27
10277,NN34,8347-0298-5377-5123,sup54,86,72.56,27.3,2020-08-31
10278,OH43,2201-9408-8115-7145,sup47,28,81.3,14.43,2020-08-31
10279,OG28,0951-3613-6244-8532,sup65,32,26.11,15.85,2020-09-03
10280,GM26,5256-2405-1463-1237,sup62,39,77.12,22.06,2020-09-23
10281,OA43,9394-4653-6172-0100,sup38,63,61.29,14.83,2020-10-02
10282,KE08,6666-3265-5332-0751,sup50,33,45.18,19.94,2020-10-03
10283,VP00,7497-8472-3824-5982,sup04,43,20.49,24.65,2020-09-09
10284,QQ77,5397-2745-4489-9551,sup78,58,63.34,24.59,2020-10-08
10285,NG82,0189-5827-4892-8227,sup62,7,36.08,23.91,2020-09-05
10286,WP54,2370-0516-7461-1081,sup03,90,28.39,10.08,2020-09-19
10287,JG61,0581-5120-8847-4563,sup15,12,81.33,18.43,2020-09-11
10288,PW33,3785-9726-2767-4154,sup24,91,89.29,17.7,2020-09-09
10289,BL77,1463-7650-6817-0039,sup63,33,42.69,24.23,2020-10-06
10290,HA29,5705-5925-8534-9896,sup64,18,37.19,18.25,2020-10-11
10291,LL12,7533-2321-6452-7353,sup29,29,94.55,29.51,2020-10-05
10292,NM78,7413-2596-2032-7581,sup35,4,57.51,24.0,2020-08-14
10293,NW32,2926-0057-8932-9970,sup40,50,57.04,22.58,2020-09-26
10294,EA13,5248-4385-2641-0053,sup11,72,73.65,16.07,2020-09-28
10295,FL28,9736-2292-9299-1333,sup04,5,55.11,24.03,2020-08-31
10296,CN82,8289-5002-3525-0290,sup75,82,57.67,18.3,2020-08-20
10297,ZR14,0759-6029-8594-4557,sup86,34,68.24,18.9,2020-09-16
10298,KD93,6398-8429-7830-2429,sup87,80,86.56,14.2,2020-09-05
10299,TO69,4906-9165-0169-9064,sup61,60,50.58,28.31,2020-09-28
10300,JZ78,0991-2805-3665-9954,sup04,99,84.55,18.52,2020-08-28
10301,JR57,8004-7183-8398-1152,sup18,67,55.06,23.54,2020-08-16
10302,VD91,6683-5463-8188-9194,sup68,81,50.74,24.22,2020-08-18
10303,ZN96,3078-6886-0235-2498,sup91,8,77.07,21.23,2020-09-10
10304,US39,6114-1187-0110-4846,sup10,48,85.98,14.37,2020-10-07
10305,WC44,1473-1581-1719-6942,sup91,14,22.3,18.61,2020-10-13
10306,JV38,2512-7089-8815-3201,sup15,68,34.83,14.53,2020-09-13
10307,YI49,5884-7401-2851-2371,sup80,47,62.18,27.94,2020-10-01
10308,PZ22,7448-0480-0709-4918,sup59,68,77.37,27.94,2020-09-27
10309,CU37,0761-3732-6587-2756,sup66,65,80.29,16.18,2020-10-02
10310,VR03,6282-8247-3607-2206,sup83,72,43.59,29.64,2020-09-07
10311,HU73,8392-9780-3289-3133,sup05,61,57.99,19.02,2020-10-09
10312,GF39,5767-0754-6519-3627,sup54,42,48.21,15.19,2020-09-23
10313,WL50,9257-6262-3093-8006,sup47,40,96.4,13.83,2020-08-18
10314,XR77,7796-3727-3406-8862,sup07,53,93.27,22.39,2020-10-12
10315,ZN25,9136-7119-2944-8214,sup91,99,43.99,10.04,2020-08-28
10316,JV11,6908-1509-7048-6727,sup59,17,34.33,11.92,2020-10-04
10317,SM10,0704-4726-1803-4246,sup96,41,23.25,27.76,2020-08-29
10318,WU46,3612-7961-6294-9749,sup30,36,87.87,12.69,2020-10-13
10319,CC39,0948-7261-0929-6264,sup72,90,28.19,12.11,2020-09-07
10320,JK32,0750-0008-4930-1443,sup44,30,30.75,15.11,2020-09-24
10321,ZZ59,2730-3879-9416-0725,sup99,67,84.27,15.71,2020-08-29
10322,CO35,9820-7661-3369-3771,sup57,57,47.72,20.09,2020-09-12
10323,MJ96,7386-8036-0247-1740,sup20,2,63.28,13.06,2020-09-02
10324,XD48,3529-9630-6519-7613,sup86,97,91.6,29.54,2020-10-07
10325,LA25,0757-7764-7092-9849,sup83,85,57.7,22.23,2020-09-06
10326,ND76,4052-6010-2147-9239,sup04,91,77.85,21.02,2020-09-17
10327,KB91,0395-4249-5395-3981,sup95,61,66.2,18.44,2020-09-06
10328,TL49,8276-3844-4904-4555,sup28,75,47.74,14.75,2020-09-06
10329,AD05,3771-6233-4143-5461,sup84,51,93.59,16.37,2020-08-29
10330,QV94,5188-8622-9986-9238,sup46,38,88.25,20.11,2020-09-30
10331,FF73,5352-7907-0048-4052,sup59,53,83.52,29.58,2020-09-18
10332,DI40,4249-5707-0285-1959,sup47,64,38.42,29.26,2020-10-09
10333,VN48,5440-7451-7901-4236,sup26,59,54.36,26.94,2020-09-23
10334,AT55,4823-1608-1267-6732,sup42,56,88.54,21.73,2020-09-26
10335,ZU59,4581-7580-0967-9376,sup37,46,82.93,27.16,2020-08-23
10336,JZ23,7633-0286-8431-6409,sup29,75,77.57,10.82,2020-09-02
10337,MJ58,7510-0212-7105-4741,sup93,26,73.72,20.01,2020-09-10
10338,UE24,4130-1706-0463-5770,sup28,89,52.21,29.21,2020-09-01
10339,EF57,5090-5092-3989-3033,sup01,44,29.72,25.31,2020-09-23
10340,QW40,7166-3269-7421-7002,sup09,14,57.03,17.15,2020-08-24
10341,LB22,1939-0829-7310-8325,sup67,76,68.6,21.64,2020-09-09
10342,MZ28,2352-2763-0277-7531,sup53,77,23.35,24.36,2020-09-24
10343,QZ47,2225-7389-9197-4137,sup37,38,30.14,25.51,2020-08-22
10344,FH20,9730-3740-7416-0943,sup48,71,24.92,20.93,2020-08-19
10345,SK47,5197-8653-0361-8703,sup25,60,68.49,25.06,2020-09-09
10346,AH29,6659-2324-5090-4720,sup51,97,79.12,14.15,2020-09-14
